Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
478,P,R,Player 1,358,120
479,R,S,Player 1,359,120
480,S,P,Player 1,360,120
481,S,R,Player 2,360,121
482,P,R,Player 1,361,121
483,R,S,Player 1,362,121
484,S,P,Player 1,363,121
485,S,R,Player 2,363,122
486,P,R,Player 1,364,122
487,R,S,Player 1,365,122
488,S,P,Player 1,366,122
489,S,R,Player 2,366,123
490,P,R,Player 1,367,123
491,R,S,Player 1,368,123
492,S,P,Player 1,369,123
493,S,R,Player 2,369,124
494,P,R,Player 1,370,124
495,R,S,Player 1,371,124
496,S,P,Player 1,372,124
497,S,R,Player 2,372,125
498,P,R,Player 1,373,125
499,R,S,Player 1,374,125
500,S,P,Player 1,375,125
501,S,R,Player 2,375,126
502,P,R,Player 1,376,126
503,R,S,Player 1,377,126
504,S,P,Player 1,378,126
505,S,R,Player 2,378,127
506,P,R,Player 1,379,127
507,R,S,Player 1,380,127
508,S,P,Player 1,381,127
509,S,R,Player 2,381,128
510,P,R,Player 1,382,128
511,R,S,Player 1,383,128
512,S,P,Player 1,384,128
513,S,R,Player 2,384,129
514,P,R,Player 1,385,129
515,R,S,Player 1,386,129
516,S,P,Player 1,387,129
517,S,R,Player 2,387,130
518,P,R,Player 1,388,130
519,R,S,Player 1,389,130
520,S,P,Player 1,390,130
521,S,R,Player 2,390,131
522,P,R,Player 1,391,131
523,R,S,Player 1,392,131
524,S,P,Player 1,393,131
525,S,R,Player 2,393,132
526,P,R,Player 1,394,132
527,R,S,Player 1,395,132
528,S,P,Player 1,396,132
529,S,R,Player 2,396,133
530,P,R,Player 1,397,133
531,R,S,Player 1,398,133
532,S,P,Player 1,399,133
533,S,R,Player 2,399,134
534,P,R,Player 1,400,134
535,R,S,Player 1,401,134
536,S,P,Player 1,402,134
537,S,R,Player 2,402,135
538,P,R,Player 1,403,135
539,R,S,Player 1,404,135
540,S,P,Player 1,405,135
541,S,R,Player 2,405,136
542,P,R,Player 1,406,136
543,R,S,Player 1,407,136
544,S,P,Player 1,408,136
545,S,R,Player 2,408,137
546,P,R,Player 1,409,137
547,R,S,Player 1,410,137
548,S,P,Player 1,411,137
549,S,R,Player 2,411,138
550,P,R,Player 1,412,138
551,R,S,Player 1,413,138
552,S,P,Player 1,414,138
553,S,R,Player 2,414,139
554,P,R,Player 1,415,139
555,R,S,Player 1,416,139
556,S,P,Player 1,417,139
557,S,R,Player 2,417,140
558,P,R,Player 1,418,140
559,R,S,Player 1,419,140
560,S,P,Player 1,420,140
561,S,R,Player 2,420,141
562,P,R,Player 1,421,141
563,R,S,Player 1,422,141
564,S,P,Player 1,423,141
565,S,R,Player 2,423,142
566,P,R,Player 1,424,142
567,R,S,Player 1,425,142
568,S,P,Player 1,426,142
569,S,R,Player 2,426,143
570,P,R,Player 1,427,143
571,R,S,Player 1,428,143
572,S,P,Player 1,429,143
573,S,R,Player 2,429,144
574,P,R,Player 1,430,144
575,R,S,Player 1,431,144
576,S,P,Player 1,432,144
577,S,R,Player 2,432,145
578,P,R,Player 1,433,145
579,R,S,Player 1,434,145
580,S,P,Player 1,435,145
581,S,R,Player 2,435,146
582,P,R,Player 1,436,146
583,R,S,Player 1,437,146
584,S,P,Player 1,438,146
585,S,R,Player 2,438,147
586,P,R,Player 1,439,147
587,R,S,Player 1,440,147
588,S,P,Player 1,441,147
589,S,R,Player 2,441,148
590,P,R,Player 1,442,148
591,R,S,Player 1,443,148
592,S,P,Player 1,444,148
593,S,R,Player 2,444,149
594,P,R,Player 1,445,149
595,R,S,Player 1,446,149
596,S,P,Player 1,447,149
597,S,R,Player 2,447,150
598,P,R,Player 1,448,150
599,R,S,Player 1,449,150
600,S,P,Player 1,450,150
601,S,R,Player 2,450,151
602,P,R,Player 1,451,151
603,R,S,Player 1,452,151
604,S,P,Player 1,453,151
605,S,R,Player 2,453,152
606,P,R,Player 1,454,152
607,R,S,Player 1,455,152
608,S,P,Player 1,456,152
609,P,R,Player 1,457,152
610,P,S,Player 2,457,153
611,S,S,Draw,457,153
612,S,R,Player 2,457,154
613,R,R,Draw,457,154
614,R,P,Player 2,457,155
615,S,P,Player 1,458,155
616,P,R,Player 1,459,155
617,R,S,Player 1,460,155
618,S,P,Player 1,461,155
619,P,R,Player 1,462,155
620,P,S,Player 2,462,156
621,S,S,Draw,462,156
622,S,R,Player 2,462,157
623,R,R,Draw,462,157
624,R,P,Player 2,462,158
625,S,P,Player 1,463,158
626,P,R,Player 1,464,158
627,R,S,Player 1,465,158
628,S,P,Player 1,466,158
629,P,R,Player 1,467,158
630,P,S,Player 2,467,159
631,S,S,Draw,467,159
632,S,R,Player 2,467,160
633,R,R,Draw,467,160
634,S,P,Player 1,468,160
635,S,R,Player 2,468,161
636,S,R,Player 2,468,162
637,R,R,Draw,468,162
638,R,P,Player 2,468,163
